iface,instances,gbps_uvn,gbps_no_uvn
em1,1,9.84,9.89
em1,2,9.84,9.9
em1,3,9.84,9.9
em1,4,9.85,9.91
em1,5,9.85,9.9
em1,6,9.849,9.9
em1,7,9.87,9.87
em1,8,9.84,9.92
ib0,1,23.3,26.6
ib0,2,37.8,44
ib0,3,20.84,28.51
ib0,4,20.56,22.45
ib0,5,21.95,22.6
ib0,6,22.35,20.88
ib0,7,24.64,29.47
ib0,8,24.43,29.98
