iface,instances,gbps_uvn,gbps_no_uvn
em1,1,21.6,22.1
em1,2,24.6,24.7
em1,3,24.54,24.75
em1,4,24.6,24.49
em1,5,24.31,24.67
em1,6,24.51,24.7
em1,7,24.38,24.67
em1,8,24.4,24.56
ib0,1,20.5,35.2
ib0,2,31,50.4
ib0,3,42.98,62.7
ib0,4,55.87,60.04
ib0,5,68.5,94.5
ib0,6,67.46,94.8
ib0,7,77.13,95.1
ib0,8,78.71,94.89
ib1,1,21.7,34.5
ib1,2,37.4,57.4
ib1,3,50.1,82.2
ib1,4,56.62,71.3
ib1,5,68,95
ib1,6,74.8,94.7
ib1,7,72.59,95.2
ib1,8,76.75,95
