iface,ppn,unit,test,bytes,uvn,no_uvn
default,1,microseconds,PingPong,0,1.77,1.67
default,1,microseconds,PingPong,1,1.64,1.57
default,1,microseconds,PingPong,2,1.53,1.52
default,1,microseconds,PingPong,4,1.47,1.45
default,1,microseconds,PingPong,8,1.46,1.42
default,1,microseconds,PingPong,16,1.46,1.41
default,1,microseconds,PingPong,32,1.45,1.42
default,1,microseconds,PingPong,64,1.54,1.51
default,1,microseconds,PingPong,128,2.42,2.34
default,1,microseconds,PingPong,256,2.53,2.36
default,1,microseconds,PingPong,512,2.69,2.53
default,1,microseconds,PingPong,1024,3.11,2.92
default,1,microseconds,PingPong,2048,3.77,3.55
default,1,microseconds,PingPong,4096,4.46,4.18
default,1,microseconds,PingPong,8192,5.93,5.50
default,1,microseconds,PingPong,16384,8.37,7.77
default,1,microseconds,PingPong,32768,13.16,12.91
default,1,microseconds,PingPong,65536,23.65,22.80
default,1,microseconds,PingPong,131072,47.10,42.44
default,1,microseconds,PingPong,262144,87.68,79.40
default,1,microseconds,PingPong,524288,169.02,154.20
default,1,microseconds,PingPong,1048576,331.62,304.06
default,1,microseconds,PingPong,2097152,655.65,601.95
default,1,microseconds,PingPong,4194304,1275.08,1180.82
default,1,microseconds,PingPing,0,1.47,1.38
default,1,microseconds,PingPing,1,1.62,1.55
default,1,microseconds,PingPing,2,1.63,1.70
default,1,microseconds,PingPing,4,1.68,1.75
default,1,microseconds,PingPing,8,1.83,1.78
default,1,microseconds,PingPing,16,1.98,1.87
default,1,microseconds,PingPing,32,2.01,1.92
default,1,microseconds,PingPing,64,2.17,2.04
default,1,microseconds,PingPing,128,3.29,3.08
default,1,microseconds,PingPing,256,3.40,3.21
default,1,microseconds,PingPing,512,3.35,3.33
default,1,microseconds,PingPing,1024,3.54,3.62
default,1,microseconds,PingPing,2048,4.16,4.01
default,1,microseconds,PingPing,4096,4.87,4.70
default,1,microseconds,PingPing,8192,6.59,6.22
default,1,microseconds,PingPing,16384,9.18,8.66
default,1,microseconds,PingPing,32768,14.09,13.38
default,1,microseconds,PingPing,65536,24.26,23.08
default,1,microseconds,PingPing,131072,45.94,43.82
default,1,microseconds,PingPing,262144,101.65,94.37
default,1,microseconds,PingPing,524288,194.74,181.14
default,1,microseconds,PingPing,1048576,379.92,354.36
default,1,microseconds,PingPing,2097152,750.04,698.77
default,1,microseconds,PingPing,4194304,1477.82,1383.41
default,1,microseconds,Unirandom,0,2.79,2.60
default,1,microseconds,Unirandom,1,2.76,2.60
default,1,microseconds,Unirandom,2,2.77,2.61
default,1,microseconds,Unirandom,4,2.78,2.65
default,1,microseconds,Unirandom,8,2.75,2.63
default,1,microseconds,Unirandom,16,2.76,2.63
default,1,microseconds,Unirandom,32,2.79,2.66
default,1,microseconds,Unirandom,64,3.05,2.84
default,1,microseconds,Unirandom,128,4.51,4.21
default,1,microseconds,Unirandom,256,4.78,4.39
default,1,microseconds,Unirandom,512,5.13,4.73
default,1,microseconds,Unirandom,1024,5.95,5.52
default,1,microseconds,Unirandom,2048,7.38,6.91
default,1,microseconds,Unirandom,4096,9.05,8.43
default,1,microseconds,Unirandom,8192,16.63,15.78
default,1,microseconds,Unirandom,16384,24.33,23.80
default,1,microseconds,Unirandom,32768,39.93,37.64
default,1,microseconds,Unirandom,65536,69.88,65.85
default,1,microseconds,Unirandom,131072,132.92,125.52
default,1,microseconds,Unirandom,262144,312.97,292.42
default,1,microseconds,Unirandom,524288,601.12,558.20
default,1,microseconds,Unirandom,1048576,1143.38,1068.20
default,1,microseconds,Unirandom,2097152,2246.27,2113.66
default,1,microseconds,Unirandom,4194304,4435.46,4163.24
default,1,microseconds,Birandom,0,3.43,3.21
default,1,microseconds,Birandom,1,3.45,3.19
default,1,microseconds,Birandom,2,3.44,3.18
default,1,microseconds,Birandom,4,3.45,3.23
default,1,microseconds,Birandom,8,3.47,3.21
default,1,microseconds,Birandom,16,3.45,3.21
default,1,microseconds,Birandom,32,3.47,3.23
default,1,microseconds,Birandom,64,3.70,3.40
default,1,microseconds,Birandom,128,5.06,4.61
default,1,microseconds,Birandom,256,5.35,4.89
default,1,microseconds,Birandom,512,5.68,5.22
default,1,microseconds,Birandom,1024,6.45,5.96
default,1,microseconds,Birandom,2048,7.85,7.27
default,1,microseconds,Birandom,4096,9.35,8.68
default,1,microseconds,Birandom,8192,16.04,14.96
default,1,microseconds,Birandom,16384,23.95,22.39
default,1,microseconds,Birandom,32768,39.65,36.97
default,1,microseconds,Birandom,65536,71.12,66.35
default,1,microseconds,Birandom,131072,135.82,127.41
default,1,microseconds,Birandom,262144,207.18,191.43
default,1,microseconds,Birandom,524288,386.31,360.13
default,1,microseconds,Birandom,1048576,741.29,689.96
default,1,microseconds,Birandom,2097152,1450.52,1351.70
default,1,microseconds,Birandom,4194304,2878.90,2671.74
default,1,microseconds,Corandom,0,2.15,2.04
default,1,microseconds,Corandom,1,2.19,2.13
default,1,microseconds,Corandom,2,2.22,2.15
default,1,microseconds,Corandom,4,2.32,2.18
default,1,microseconds,Corandom,8,2.43,2.21
default,1,microseconds,Corandom,16,2.53,2.28
default,1,microseconds,Corandom,32,2.57,2.38
default,1,microseconds,Corandom,64,2.77,2.61
default,1,microseconds,Corandom,128,3.82,3.62
default,1,microseconds,Corandom,256,3.69,3.55
default,1,microseconds,Corandom,512,3.74,3.62
default,1,microseconds,Corandom,1024,4.19,4.01
default,1,microseconds,Corandom,2048,5.01,4.70
default,1,microseconds,Corandom,4096,5.92,5.51
default,1,microseconds,Corandom,8192,7.60,7.43
default,1,microseconds,Corandom,16384,10.91,11.00
default,1,microseconds,Corandom,32768,16.23,16.98
default,1,microseconds,Corandom,65536,27.66,30.43
default,1,microseconds,Corandom,131072,50.09,55.44
default,1,microseconds,Corandom,262144,106.50,106.67
default,1,microseconds,Corandom,524288,200.85,202.38
default,1,microseconds,Corandom,1048576,386.25,391.92
default,1,microseconds,Corandom,2097152,755.88,766.96
default,1,microseconds,Corandom,4194304,1493.58,1504.16
default,1,microseconds,Stencil2D,0,1.03,0.95
default,1,microseconds,Stencil2D,1,1.03,0.96
default,1,microseconds,Stencil2D,2,1.03,0.96
default,1,microseconds,Stencil2D,4,1.03,0.95
default,1,microseconds,Stencil2D,8,1.03,0.96
default,1,microseconds,Stencil2D,16,1.03,0.96
default,1,microseconds,Stencil2D,32,1.04,0.96
default,1,microseconds,Stencil2D,64,1.08,1.00
default,1,microseconds,Stencil2D,128,1.47,1.30
default,1,microseconds,Stencil2D,256,1.57,1.37
default,1,microseconds,Stencil2D,512,1.61,1.46
default,1,microseconds,Stencil2D,1024,1.75,1.63
default,1,microseconds,Stencil2D,2048,2.10,1.98
default,1,microseconds,Stencil2D,4096,2.62,2.51
