iface,ppn,unit,test,bytes,uvn,no_uvn
default,1,microseconds,PingPong,0,1.67,1.62
default,1,microseconds,PingPong,1,1.58,1.57
default,1,microseconds,PingPong,2,1.53,1.54
default,1,microseconds,PingPong,4,1.47,1.49
default,1,microseconds,PingPong,8,1.40,1.45
default,1,microseconds,PingPong,16,1.36,1.39
default,1,microseconds,PingPong,32,1.33,1.35
default,1,microseconds,PingPong,64,1.42,1.42
default,1,microseconds,PingPong,128,2.20,2.19
default,1,microseconds,PingPong,256,2.30,2.24
default,1,microseconds,PingPong,512,2.49,2.41
default,1,microseconds,PingPong,1024,2.91,2.81
default,1,microseconds,PingPong,2048,3.54,3.43
default,1,microseconds,PingPong,4096,4.18,4.04
default,1,microseconds,PingPong,8192,5.53,5.31
default,1,microseconds,PingPong,16384,7.81,7.43
default,1,microseconds,PingPong,32768,12.30,11.74
default,1,microseconds,PingPong,65536,21.34,20.42
default,1,microseconds,PingPong,131072,40.85,40.27
default,1,microseconds,PingPong,262144,79.16,76.30
default,1,microseconds,PingPong,524288,156.71,146.76
default,1,microseconds,PingPong,1048576,305.53,289.40
default,1,microseconds,PingPong,2097152,602.35,574.28
default,1,microseconds,PingPong,4194304,1182.59,1131.19
default,1,microseconds,PingPing,0,1.37,1.31
default,1,microseconds,PingPing,1,1.48,1.39
default,1,microseconds,PingPing,2,1.55,1.48
default,1,microseconds,PingPing,4,1.64,1.60
default,1,microseconds,PingPing,8,1.69,1.67
default,1,microseconds,PingPing,16,1.79,1.74
default,1,microseconds,PingPing,32,1.88,1.83
default,1,microseconds,PingPing,64,2.03,1.98
default,1,microseconds,PingPing,128,3.06,2.96
default,1,microseconds,PingPing,256,3.10,3.03
default,1,microseconds,PingPing,512,3.17,3.12
default,1,microseconds,PingPing,1024,3.50,3.50
default,1,microseconds,PingPing,2048,4.06,3.97
default,1,microseconds,PingPing,4096,4.57,4.44
default,1,microseconds,PingPing,8192,6.15,5.91
default,1,microseconds,PingPing,16384,8.57,8.25
